0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11,23.2847003936768,27.8019618988037,32.3192253112793,36.8364906311035,41.3537521362305,45.8710136413574,50.3882789611816,55.1286201477051,60.6471939086914,66.1657638549805,71.6843414306641,77.2029113769531,82.7214889526367,88.2400588989258,93.7586364746094,99.2772064208984,104.795776367188,110.314353942871,118.171394348145,127.186325073242,136.201263427734,145.216186523438,154.23112487793,163.246047973633,172.260986328125,181.275924682617,190.29084777832,199.305786132813,208.307174682617,217.204238891602,226.101287841797,234.998352050781,243.895401000977,252.792465209961,261.689514160156,270.586578369141,279.483642578125,288.380676269531,297.277740478516,308.302215576172,320.992065429687,333.681884765625,346.371734619141,359.061553955078,371.751403808594,384.441223144531,397.131072998047,409.820892333984,422.5107421875,435.1123046875
12,24.0737400054932,29.1346836090088,34.1956253051758,39.2565689086914,44.317512512207,49.3784561157227,54.439395904541,59.4360046386719,64.2081680297852,68.980339050293,73.7525024414063,78.5246658325195,83.2968292236328,88.0690002441406,92.8411636352539,97.6133270263672,102.38549041748,107.157661437988,114.853790283203,123.997734069824,133.141677856445,142.285614013672,151.429565429688,160.573501586914,169.717437744141,178.861389160156,188.005325317383,197.149261474609,206.313537597656,215.634490966797,224.955429077148,234.2763671875,243.597305297852,252.918258666992,262.239196777344,271.560150146484,280.881072998047,290.202026367187,299.52294921875,312.64599609375,328.745361328125,344.8447265625,360.944061279297,377.043426513672,393.142761230469,409.242126464844,425.341491699219,441.440826416016,457.540191650391,473.527557373047
13,24.8627796173096,30.4674034118652,36.0720252990723,41.6766471862793,47.2812728881836,52.8858947753906,58.4905166625977,63.7433891296387,67.7691497802734,71.7949066162109,75.8206634521484,79.8464202880859,83.8721771240234,87.8979339599609,91.9236907958984,95.9494476318359,99.9752044677734,104.000961303711,111.536193847656,120.809143066406,130.082092285156,139.355041503906,148.627990722656,157.900939941406,167.173904418945,176.446853637695,185.719802856445,194.992752075195,204.319900512695,214.064727783203,223.809555053711,233.554382324219,243.299209594727,253.044052124023,262.788879394531,272.53369140625,282.278533935547,292.023345947266,301.768188476562,316.989776611328,336.498657226563,356.007537841797,375.516418457031,395.025268554688,414.534149169922,434.043029785156,453.551879882813,473.060760498047,492.569641113281,511.942810058594
14,25.6518211364746,31.8001232147217,37.9484252929687,44.0967292785645,50.2450294494629,56.3933334350586,62.5416374206543,68.0507736206055,71.3301239013672,74.6094741821289,77.8888244628906,81.1681747436523,84.4475250244141,87.7268753051758,91.0062255859375,94.2855682373047,97.5649185180664,100.844268798828,108.218597412109,117.620559692383,127.022514343262,136.424468994141,145.826431274414,155.228393554688,164.630355834961,174.032318115234,183.434265136719,192.836227416992,202.326263427734,212.494979858398,222.663696289062,232.832412719727,243.001129150391,253.169830322266,263.338562011719,273.507263183594,283.675964355469,293.844696044922,304.013397216797,321.333587646484,344.251983642578,367.170349121094,390.088745117187,413.007141113281,435.925537109375,458.843902587891,481.762298583984,504.680694580078,527.599060058594,550.358093261719
15,26.440860748291,33.1328430175781,39.8248252868652,46.5168075561523,53.2087898254395,59.9007720947266,66.5927581787109,72.3581619262695,74.8910980224609,77.4240417480469,79.9569854736328,82.4899291992188,85.0228652954102,87.5558090209961,90.088752746582,92.621696472168,95.1546325683594,97.6875762939453,104.901000976563,114.431968688965,123.962936401367,133.493896484375,143.024871826172,152.55583190918,162.086807250977,171.617767333984,181.148742675781,190.679718017578,200.332626342773,210.925231933594,221.517822265625,232.110427856445,242.703033447266,253.295623779297,263.888214111328,274.480834960938,285.073425292969,295.666015625,306.258636474609,325.677368164063,352.005279541016,378.333190917969,404.661071777344,430.988983154297,457.31689453125,483.644805908203,509.972717285156,536.300598144531,562.628540039063,588.773315429688
16,27.2299022674561,34.4655647277832,41.7012252807617,48.9368896484375,56.172550201416,63.4082145690918,70.6438751220703,76.6655426025391,78.4520797729492,80.2386093139648,82.025146484375,83.8116836547852,85.5982131958008,87.3847503662109,89.1712799072266,90.9578170776367,92.7443466186523,94.5308837890625,101.583404541016,111.243377685547,120.903350830078,130.563339233398,140.22331237793,149.883285522461,159.543258666992,169.203231811523,178.863220214844,188.523193359375,198.338989257813,209.355484008789,220.371963500977,231.388442993164,242.404937744141,253.421417236328,264.437896728516,275.454406738281,286.470886230469,297.487365722656,308.503845214844,330.021148681641,359.758575439453,389.496002197266,419.233428955078,448.970855712891,478.708282470703,508.445709228516,538.18310546875,567.920532226563,597.657958984375,627.188537597656
17,28.0189418792725,35.798282623291,43.5776252746582,51.3569679260254,59.1363105773926,66.9156494140625,74.6949920654297,80.9729309082031,82.013053894043,83.0531845092773,84.0933074951172,85.133430480957,86.1735610961914,87.2136840820312,88.2538146972656,89.2939376831055,90.3340606689453,91.3741912841797,98.2658004760742,108.054786682129,117.843772888184,127.632759094238,137.421737670898,147.210723876953,156.999710083008,166.788696289063,176.577682495117,186.366668701172,196.345352172852,207.785720825195,219.226104736328,230.666473388672,242.106842041016,253.547210693359,264.987579345703,276.427947998047,287.868316650391,299.308715820312,310.749084472656,334.364929199219,367.511871337891,400.658813476563,433.805755615234,466.952697753906,500.099639892578,533.24658203125,566.3935546875,599.540466308594,632.687438964844,665.603820800781
18,28.5192852020264,36.4088935852051,44.2985076904297,52.188117980957,60.0777282714844,67.9673385620117,75.8569488525391,82.1549224853516,82.9002990722656,83.6456756591797,84.3910522460937,85.1364364624024,85.8818130493164,86.6271896362305,87.3725662231445,88.1179504394531,88.8633270263672,89.6087036132812,96.1869049072266,105.653244018555,115.119575500488,124.585906982422,134.05224609375,143.518569946289,152.984909057617,162.451248168945,171.917572021484,181.383911132813,191.081680297852,202.562713623047,214.043731689453,225.524765014648,237.005798339844,248.486831665039,259.967864990234,271.448883056641,282.929931640625,294.410949707031,305.891998291016,330.373596191406,365.032165527344,399.690734863281,434.349304199219,469.007904052734,503.666473388672,538.325012207031,572.983642578125,607.642211914063,642.30078125,676.71826171875
19,28.7252063751221,36.2830810546875,43.8409538269043,51.3988265991211,58.9566993713379,66.5145721435547,74.0724487304688,80.149543762207,81.060791015625,81.972038269043,82.8832855224609,83.7945327758789,84.7057800292969,85.6170272827148,86.5282745361328,87.4395141601562,88.3507614135742,89.2620086669922,95.3712768554687,104.054336547852,112.737403869629,121.420471191406,130.103546142578,138.786605834961,147.469665527344,156.152740478516,164.835800170898,173.51887512207,182.483123779297,193.613983154297,204.744842529297,215.875717163086,227.006576538086,238.137435913086,249.268310546875,260.399169921875,271.530029296875,282.660888671875,293.791748046875,317.881866455078,352.116546630859,386.351226806641,420.585906982422,454.820617675781,489.055297851563,523.289978027344,557.524658203125,591.759338378906,625.994018554688,659.990600585938
20,28.9311275482178,36.1572647094727,43.3834037780762,50.6095390319824,57.8356742858887,65.0618133544922,72.2879486083984,78.1441650390625,79.2212829589844,80.2984008789062,81.3755111694336,82.4526290893555,83.5297393798828,84.6068572998047,85.6839752197266,86.7610855102539,87.8382034301758,88.9153213500977,94.5556411743164,102.455436706543,110.355239868164,118.255035400391,126.154838562012,134.054641723633,141.954437255859,149.854232788086,157.754028320313,165.653823852539,173.884567260742,184.665252685547,195.445953369141,206.226654052734,217.007354736328,227.788055419922,238.568740844727,249.34944152832,260.130126953125,270.910827636719,281.691528320312,305.390106201172,339.200927734375,373.01171875,406.822509765625,440.633331298828,474.444122314453,508.254913330078,542.065734863281,575.876525878906,609.687316894531,643.263000488281
