0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
11,-3630.21948242188,-3615.56103515625,-3520.4033203125,-3260.63989257812,-3000.87646484375,-2741.11303710937,-2448.05224609375,-2143.30249023438,-1838.55261230469,-1522.78979492188,-1145.53674316406,-768.283752441406,-391.030792236328,-167.147918701172,-62.0062446594238,43.1354331970215,148.277099609375,122.06534576416,92.5358581542969,63.0063705444336,81.6120758056641,176.431350708008,271.250640869141,366.069915771484,478.100128173828,594.464477539063,710.828918457031,834.024719238281,982.832397460938,1131.64001464844,1280.44763183594,1355.34228515625,1385.3759765625,1415.40966796875,1447.01525878906
12,-3458.11694335937,-3392.15112304687,-3235.19946289062,-2892.19873046875,-2549.19799804687,-2206.197265625,-1818.6748046875,-1415.52294921875,-1012.37109375,-629.993957519531,-363.611724853516,-97.2294845581055,169.152755737305,269.438903808594,241.131271362305,212.823638916016,184.516006469727,146.717178344727,108.678604125977,70.6400375366211,103.500106811523,248.615615844727,393.731140136719,538.846618652344,695.721740722656,855.558288574219,1015.39477539063,1167.58703613281,1291.12023925781,1414.6533203125,1538.1865234375,1563.68981933594,1529.69482421875,1495.69982910156,1465.51904296875
13,-3151.98559570312,-2935.77294921875,-2676.03076171875,-2327.279296875,-1978.52783203125,-1629.77624511719,-1229.10241699219,-810.200866699219,-391.29931640625,-18.5352954864502,96.6223907470703,211.780075073242,326.937744140625,344.900543212891,287.61376953125,230.32698059082,173.040191650391,231.977416992187,293.850219726562,355.723022460938,448.045043945313,588.578063964844,729.111083984375,869.644104003906,1000.02758789063,1127.85510253906,1255.68273925781,1373.29150390625,1452.58874511719,1531.88598632813,1611.18322753906,1616.85632324219,1577.84399414063,1538.83166503906,1502.60144042969
14,-2794.08422851562,-2389.408203125,-2011.04040527344,-1686.46813964844,-1361.89587402344,-1037.32360839844,-654.905029296875,-252.17919921875,150.546661376953,484.254028320312,432.600067138672,380.946136474609,329.292205810547,280.873870849609,234.960601806641,189.047348022461,143.134078979492,340.648284912109,544.310974121094,747.9736328125,917.219543457031,1031.97253417969,1146.7255859375,1261.47863769531,1337.81604003906,1404.47937011719,1471.14270019531,1529.60949707031,1557.34680175781,1585.08410644531,1612.82141113281,1610.08251953125,1588.84655761719,1567.61059570313,1546.86010742188
15,-2436.18286132812,-1843.04333496094,-1346.04992675781,-1045.65698242188,-745.263977050781,-444.870941162109,-80.7076950073242,305.842498779297,692.392700195313,987.043334960937,768.577758789063,550.112182617188,331.646636962891,216.847198486328,182.30744934082,147.767715454102,113.227966308594,449.319152832031,794.771728515625,1140.22424316406,1386.39404296875,1475.36706542969,1564.34020996094,1653.31323242187,1675.6044921875,1681.10363769531,1686.60266113281,1685.92749023438,1662.10485839844,1638.2822265625,1614.45947265625,1603.30883789063,1599.84924316406,1596.3896484375,1591.11877441406
16,-2131.44360351562,-1536.29931640625,-1036.10803222656,-730.077697753906,-424.047302246094,-118.016899108887,221.535949707031,572.857055664062,924.178161621094,1178.45922851563,890.922180175781,603.385070800781,315.847961425781,215.327087402344,259.5966796875,303.866241455078,348.135803222656,708.884338378906,1077.62646484375,1446.36865234375,1691.83081054687,1742.10107421875,1792.37121582031,1842.64147949219,1827.51428222656,1795.91845703125,1764.32250976563,1728.41333007813,1676.33374023438,1624.25402832031,1572.17443847656,1565.83532714844,1587.25793457031,1608.68054199219,1626.5712890625
17,-1902.12390136719,-1569.49731445313,-1229.86169433594,-875.89404296875,-521.926330566406,-167.958679199219,137.967987060547,427.029602050781,716.091247558594,928.140075683594,710.192077636719,492.244079589844,274.296081542969,302.482971191406,521.230773925781,739.978576660156,958.726379394531,1182.51831054688,1406.43762207031,1630.35693359375,1764.97839355469,1758.21252441406,1751.44665527344,1744.68078613281,1715.72436523438,1681.1796875,1646.63513183594,1609.40930175781,1562.1318359375,1514.85437011719,1467.57678222656,1484.80895996094,1541.19470214844,1597.58044433594,1649.53088378906
18,-1672.80419921875,-1602.6953125,-1423.61535644531,-1021.71038818359,-619.805419921875,-217.900466918945,54.4000282287598,281.2021484375,508.004272460938,677.820922851562,529.462036132813,381.103118896484,232.744201660156,389.638885498047,782.864868164063,1176.09094238281,1569.31689453125,1656.15222167969,1735.24877929687,1814.34533691406,1838.12609863281,1774.32409667969,1710.52209472656,1646.72009277344,1603.93432617188,1566.44104003906,1528.94763183594,1490.4052734375,1447.92993164062,1405.45458984375,1362.97924804688,1403.78271484375,1495.13146972656,1586.48022460938,1672.49060058594
19,-1464.68249511719,-1615.55114746094,-1571.91259765625,-1130.54370117188,-689.174865722656,-247.806045532227,-7.26638507843018,162.771072387695,332.808502197266,465.916137695313,392.827850341797,319.739532470703,246.651260375977,517.423583984375,1054.41735839844,1591.4111328125,2128.40478515625,2084.22192382812,2025.35974121094,1966.49755859375,1887.8056640625,1777.71716308594,1667.62854003906,1557.5400390625,1509.38037109375,1476.81604003906,1444.25170898438,1409.33483886719,1365.59777832031,1321.86071777344,1278.12365722656,1336.07495117188,1455.74487304688,1575.41491699219,1689.01794433594
20,-1436.22143554688,-1455.99975585937,-1334.94958496094,-925.93212890625,-516.914611816406,-107.897125244141,116.691177368164,276.534576416016,436.377990722656,579.587585449219,629.923034667969,680.258483886719,730.593994140625,989.553100585938,1410.03149414062,1830.50988769531,2250.98828125,2126.1171875,1987.47192382813,1848.82653808594,1738.58520507813,1673.31677246094,1608.04833984375,1542.77990722656,1560.90905761719,1600.0400390625,1639.17102050781,1649.76538085938,1553.37316894531,1456.98095703125,1360.58862304687,1381.24609375,1472.94567871094,1564.64526367188,1651.02905273438
